Zm00001d027230	Zm00001eb000010
Zm00001d027231	Zm00001eb000020
Zm00001d027232	chr1_82821_84158_-
Zm00001d027233	chr1_102029_108522_-
Zm00001d027234	Zm00001eb000050
Zm00001d027235	chr1_112534_113028_+
Zm00001d027236	chr1_129359_129458_-
Zm00001d027239	Zm00001eb000060
Zm00001d027240	Zm00001eb000070
Zm00001d027242	Zm00001eb000080
Zm00001d027244	Zm00001eb000100
Zm00001d027245	chr1_216296_234128_+
Zm00001d027248	chr1_318917_322614_-
Zm00001d027249	Zm00001eb000140
Zm00001d027250	Zm00001eb000150
Zm00001d027253	chr1_410772_411351_+
Zm00001d027254	chr1_417954_418970_+
Zm00001d027256	Zm00001eb000180
Zm00001d027257	Zm00001eb000170
Zm00001d027258	Zm00001eb000200
Zm00001d027259	Zm00001eb000190
Zm00001d027263	chr1_857368_858147_-
Zm00001d027265	Zm00001eb000210
Zm00001d027266	Zm00001eb000220
Zm00001d027267	Zm00001eb000230
Zm00001d027268	Zm00001eb000240
Zm00001d027269	Zm00001eb000250
Zm00001d027271	Zm00001eb000270
Zm00001d027273	chr1_1196323_1197655_+
Zm00001d027276	Zm00001eb000320
Zm00001d027277	Zm00001eb000330
Zm00001d027278	Zm00001eb000340
Zm00001d027279	Zm00001eb000360
Zm00001d027280	chr1_1571026_1571512_-
Zm00001d027281	Zm00001eb000370
Zm00001d027283	Zm00001eb000380
Zm00001d027285	Zm00001eb000390
Zm00001d027286	Zm00001eb000400
Zm00001d027287	Zm00001eb000410
Zm00001d027288	Zm00001eb000420
Zm00001d027289	chr1_1912439_1927257_+
Zm00001d027290	Zm00001eb000440
Zm00001d027291	Zm00001eb000450
Zm00001d027292	Zm00001eb000470
Zm00001d027293	Zm00001eb000480
Zm00001d027295	Zm00001eb000490
Zm00001d027296	Zm00001eb000500
Zm00001d027298	Zm00001eb000510
Zm00001d027299	Zm00001eb000520
Zm00001d027300	Zm00001eb000540
Zm00001d027302	Zm00001eb000550
Zm00001d027303	Zm00001eb000560
Zm00001d027304	Zm00001eb000570
Zm00001d027305	Zm00001eb000580
Zm00001d027306	chr1_2457548_2458396_-
Zm00001d027307	Zm00001eb000590
Zm00001d027308	Zm00001eb000600
Zm00001d027309	Zm00001eb000620
Zm00001d027310	Zm00001eb000630
Zm00001d027311	Zm00001eb000640
Zm00001d027312	Zm00001eb000650
Zm00001d027313	Zm00001eb000660
Zm00001d027314	Zm00001eb000670
Zm00001d027315	Zm00001eb000680
Zm00001d027317	Zm00001eb000690
Zm00001d027318	Zm00001eb000700
Zm00001d027319	Zm00001eb000710
Zm00001d027320	Zm00001eb000720
Zm00001d027320	Zm00001eb000750
Zm00001d027321	Zm00001eb000740
Zm00001d027322	Zm00001eb000760
Zm00001d027323	Zm00001eb000770
Zm00001d027324	Zm00001eb000780
Zm00001d027325	Zm00001eb000790
Zm00001d027326	Zm00001eb000800
Zm00001d027329	Zm00001eb000820
Zm00001d027330	Zm00001eb000840
Zm00001d027332	Zm00001eb000850
Zm00001d027333	Zm00001eb000860
Zm00001d027334	Zm00001eb000870
Zm00001d027335	Zm00001eb000880
Zm00001d027337	Zm00001eb000890
Zm00001d027338	Zm00001eb000900
Zm00001d027339	Zm00001eb000910
Zm00001d027340	Zm00001eb000920
Zm00001d027341	Zm00001eb000930
Zm00001d027342	chr1_3284146_3285368_-
Zm00001d027343	Zm00001eb000960
Zm00001d027344	Zm00001eb000970
Zm00001d027345	Zm00001eb000980
Zm00001d027346	Zm00001eb000990
Zm00001d027347	Zm00001eb001000
Zm00001d027348	Zm00001eb001010
Zm00001d027349	Zm00001eb001020
Zm00001d027350	chr1_3439474_3439716_-
Zm00001d027351	Zm00001eb001040
Zm00001d027352	Zm00001eb001050
Zm00001d027353	Zm00001eb001060
Zm00001d027354	Zm00001eb001070
Zm00001d027355	chr1_3564570_3565995_+
Zm00001d027359	Zm00001eb001110
Zm00001d027361	Zm00001eb001120
Zm00001d027362	Zm00001eb001130
Zm00001d027363	Zm00001eb001140
Zm00001d027365	Zm00001eb001150
Zm00001d027366	Zm00001eb001170
Zm00001d027367	Zm00001eb001180
Zm00001d027368	Zm00001eb001190
Zm00001d027369	Zm00001eb001210
Zm00001d027369	Zm00001eb001200
Zm00001d027370	Zm00001eb001220
Zm00001d027371	Zm00001eb001240
Zm00001d027373	Zm00001eb001260
Zm00001d027374	Zm00001eb001270
Zm00001d027375	Zm00001eb001280
Zm00001d027376	Zm00001eb001290
Zm00001d027379	Zm00001eb001300
Zm00001d027380	Zm00001eb001320
Zm00001d027380	Zm00001eb001330
Zm00001d027380	Zm00001eb001310
Zm00001d027383	Zm00001eb001340
Zm00001d027384	Zm00001eb001350
Zm00001d027385	Zm00001eb001360
Zm00001d027386	Zm00001eb001370
Zm00001d027387	chr1_4102226_4104472_-
Zm00001d027389	Zm00001eb001400
Zm00001d027391	Zm00001eb001420
Zm00001d027392	Zm00001eb001430
Zm00001d027393	Zm00001eb001440
Zm00001d027394	chr1_4293168_4293479_+
Zm00001d027395	Zm00001eb001460
Zm00001d027399	Zm00001eb001470
Zm00001d027400	Zm00001eb001480
Zm00001d027402	Zm00001eb001500
Zm00001d027401	Zm00001eb001490
Zm00001d027403	Zm00001eb001510
Zm00001d027404	Zm00001eb001520
Zm00001d027405	Zm00001eb001530
Zm00001d027406	chr1_4539163_4541384_-
Zm00001d027407	chr1_4553358_4554202_-
Zm00001d027408	chr1_4557485_4557685_-
Zm00001d027409	Zm00001eb001550
Zm00001d027411	Zm00001eb001560
Zm00001d027412	Zm00001eb001570
Zm00001d027414	Zm00001eb001580
Zm00001d027415	Zm00001eb001590
Zm00001d027416	Zm00001eb001600
Zm00001d027417	chr1_4800223_4800555_-
Zm00001d027419	Zm00001eb001630
Zm00001d027421	Zm00001eb001640
Zm00001d027422	Zm00001eb001650
Zm00001d027423	chr1_4863099_4867832_-
Zm00001d027424	Zm00001eb001660
Zm00001d027425	Zm00001eb001670
Zm00001d027427	Zm00001eb001680
Zm00001d027428	Zm00001eb001690
Zm00001d027429	Zm00001eb001700
Zm00001d027430	Zm00001eb001710
Zm00001d027431	Zm00001eb001720
Zm00001d027434	Zm00001eb001760
Zm00001d027435	Zm00001eb001770
Zm00001d027436	Zm00001eb001780
Zm00001d027437	Zm00001eb001800
Zm00001d027439	Zm00001eb001810
Zm00001d027440	Zm00001eb001820
Zm00001d027441	Zm00001eb001830
Zm00001d027442	Zm00001eb001840
Zm00001d027443	chr1_5417568_5419486_-
Zm00001d027444	Zm00001eb001860
Zm00001d027445	Zm00001eb001870
Zm00001d027446	Zm00001eb001880
Zm00001d027447	Zm00001eb001890
Zm00001d027448	Zm00001eb001900
Zm00001d027449	Zm00001eb001900
Zm00001d027450	Zm00001eb001910
Zm00001d027451	chr1_5490640_5493768_-
Zm00001d027453	Zm00001eb001920
Zm00001d027454	chr1_5556631_5557632_+
Zm00001d027455	Zm00001eb001940
Zm00001d027456	Zm00001eb001950
Zm00001d027457	Zm00001eb001970
Zm00001d027458	Zm00001eb001980
Zm00001d027459	Zm00001eb001990
Zm00001d027460	Zm00001eb002000
Zm00001d027461	Zm00001eb002010
Zm00001d027462	Zm00001eb002020
Zm00001d027463	Zm00001eb002030
Zm00001d027464	chr1_5840316_5841420_+
Zm00001d027466	Zm00001eb002040
Zm00001d027467	Zm00001eb002050
Zm00001d027468	Zm00001eb002060
Zm00001d027469	Zm00001eb002070
Zm00001d027470	chr1_5981309_5986258_-
Zm00001d027471	Zm00001eb002090
Zm00001d027472	Zm00001eb002100
Zm00001d027474	Zm00001eb002100
Zm00001d027475	Zm00001eb002100
Zm00001d027476	Zm00001eb002150
Zm00001d027477	chr1_6191276_6191830_-
Zm00001d027478	chr1_6193255_6199800_-
Zm00001d027479	Zm00001eb002170
Zm00001d027480	Zm00001eb002180
Zm00001d027481	Zm00001eb002190
Zm00001d027483	Zm00001eb002200
Zm00001d027484	Zm00001eb002220
Zm00001d027485	Zm00001eb002240
Zm00001d027486	Zm00001eb002250
Zm00001d027487	Zm00001eb002260
